1289001952,76456
1058146936,66880
1049699840,74936
1073128056,71896
1105471528,62472
1176583968,71896
1236957456,85728
1028211296,73720
939150240,62776
1069466832,70376
1121417696,78432
1082180568,70072
1010295664,69768
1236619104,57760
1174496400,105640
1302760536,74024
1222836048,88464
1103258408,68552
1108552872,79800
1074450608,77672
1151035200,72504
996470048,73872
1291464048,65816
1277761856,75544
1052579024,70072
969658312,66576
1079096032,69616
1140307952,74024
1199492952,64752
1084014904,75848
